Round,Date,Home v Away Teams,Venue,Crowd,Result,Disposals,Goals
22,Sun 15 Aug 2:10pm,Melbourne v Adelaide,MCG,,104-63,P. Seedsman 36,B. Fritsch 7
22,Sun 15 Aug 3:10pm,Fremantle v West Coast,Optus Stadium,51692,79-64,A. Gaff 32,M. Taberner 3; J. Kennedy 3; L. Ryan 3
22,Sun 15 Aug 3:20pm,Gold Coast v Essendon,GMHBA Stadium,,30-98,D. Parish 34,J. Stringer 5; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
23,Fri 20 Aug 7:50pm,Western Bulldogs v Port Adelaide,Marvel Stadium,,64-66,O. Wines 34,-
23,Sat 21 Aug 1:35pm,Richmond v Hawthorn,MCG,,83-83,J. O'Meara 36,T. Mitchell 36; T. Brockman 3; J. Riewoldt 3; T. Lynch 3
23,Sat 21 Aug 1:45pm,Sydney v Gold Coast,Marvel Stadium,,136-49,T. Miller 37,L. Franklin 6
23,Sat 21 Aug 4:35pm,Brisbane v West Coast,Gabba,21845,125-87,L. Shuey 35,J. Daniher 4
23,Sat 21 Aug 7:25pm,Geelong v Melbourne,GMHBA Stadium,,77-81,C. Oliver 37,T. Hawkins 4
23,Sat 21 Aug 7:40pm,Carlton v GWS,Marvel Stadium,,75-89,S. Walsh 29,J. Kelly 29; T. Taranto 29; E. Curnow 4
23,Sun 22 Aug 12:15pm,St Kilda v Fremantle,Ninja Stadium,3082,107-49,J. Steele 36,C. Sharman 4
23,Sun 22 Aug 3:20pm,Essendon v Collingwood,MCG,,102-64,T. Adams 31,J. Elliott 4; P. Wright 4; A. Waterman 4
23,Sun 22 Aug 4:10pm,Adelaide v North Melbourne,Adelaide Oval,13103,98-54,R. Laird 40,S. McAdam 3; N. Larkey 3; Qualifying Final; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
23,Fri 27 Aug 7:20pm,Port Adelaide v Geelong,Adelaide Oval,19712,86-43,M. Duncan 33,O. Wines 33; O. Fantasia 4; Elimination Final; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
23,Sat 28 Aug 3:20pm,Sydney v GWS,UTAS Stadium,8635,73-74,L. Parker 34,I. Heeney 4; Qualifying Final; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
23,Sat 28 Aug 7:00pm,Melbourne v Brisbane,Adelaide Oval,13784,93-60,L. Neale 46,C. Cameron 5; Elimination Final; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
23,Sun 29 Aug 3:20pm,Western Bulldogs v Essendon,UTAS Stadium,9760,85-36,J. Macrae 36,C. Weightman 4; Semi Final; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
23,Fri 3 Sep 5:50pm,Geelong v GWS,Optus Stadium,44091,103-68,L. Whitfield 34,T. Hawkins 5
23,Sat 4 Sep 7:20pm,Brisbane v Western Bulldogs,Gabba,36470,78-79,J. Macrae 39,B. Smith 3; C. Cameron 3; Preliminary Final; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
23,Fri 10 Sep 5:50pm,Melbourne v Geelong,Optus Stadium,58599,125-42,J. Viney 34,M. Gawn 5
23,Sat 11 Sep 7:10pm,Port Adelaide v Western Bulldogs,Adelaide Oval,26400,45-116,O. Wines 38,B. Smith 4; Grand Final; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
23,Sat 25 Sep 5:15pm,Melbourne v Western Bulldogs,Optus Stadium,61118,140-66,C. Petracca 39,B. Fritsch 6
